30 1 2014 00:36:13,610 stats start.
31 1 2014 00:08:15,567 stats start.
01 2 2014 00:40:55,388 stats start.
03 2 2014 00:38:47,530 stats start.
03 2 2014 22:37:31,365 stats start.
03 2 2014 23:37:31,388 [3600021] con:63 req(rej):res[418(-):418] err:-[-:-:-:-:-:-:-:-] cu:244263 wu:243009 wd:343669 cd:345969
04 2 2014 00:37:31,387 [7200021] con:37 req(rej):res[240(-):240] err:-[-:-:-:-:-:-:-:-] cu:140272 wu:139552 wd:222293 cd:226919
04 2 2014 22:07:40,450 stats start.
04 2 2014 23:07:40,470 [3600019] con:279 req(rej):res[1786(-):1786] err:-[-:-:-:-:-:-:-:-] cu:1043681 wu:1038323 wd:1501071 cd:1512061
05 2 2014 00:07:40,470 [7200019] con:178 req(rej):res[1387(-):1387] err:-[-:-:-:-:-:-:-:-] cu:810563 wu:806402 wd:1195804 cd:1204468
05 2 2014 01:07:40,469 [10800018] con:200 req(rej):res[1415(-):1415] err:-[1:-:-:-:-:-:-:-] cu:790505 wu:786260 wd:2925221 cd:2926959
06 2 2014 23:24:11,250 stats start.
07 2 2014 00:24:11,279 [3600017] con:32 req(rej):res[321(-):320] err:-[-:-:-:-:-:-:-:-] cu:187041 wu:186078 wd:234354 cd:234354
12 2 2014 23:34:50,701 stats start.
12 2 2014 23:37:51,444 stats start.
12 2 2014 23:39:13,501 stats start.
12 2 2014 23:40:44,998 stats start.
12 2 2014 23:42:08,321 stats start.
12 2 2014 23:43:06,870 stats start.
12 2 2014 23:44:28,140 stats start.
12 2 2014 23:45:51,448 stats start.
12 2 2014 23:49:35,588 stats start.
13 9 2014 00:30:50,787 stats start.
23 9 2014 23:18:52,114 stats start.
23 9 2014 23:30:15,615 stats start.
23 9 2014 23:43:07,503 stats start.
23 9 2014 23:43:24,370 stats start.
23 9 2014 23:44:09,657 stats start.
23 9 2014 23:47:47,283 stats start.
23 9 2014 23:57:54,391 stats start.
23 9 2014 23:58:04,839 stats start.
23 9 2014 23:58:36,903 stats start.
23 9 2014 23:59:28,007 stats start.
24 9 2014 00:01:18,450 stats start.
24 9 2014 00:05:27,064 stats start.
